GroupID,DuplicateType,BookID,Title,Author,Maktaba,Category,PageCount
9,Title Variant / Disambiguated (2),74682,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 8,,Maktaba Shamela,General,389
9,Title Variant / Disambiguated (2),74683,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 9,,Maktaba Shamela,General,386
9,Title Variant / Disambiguated (2),74684,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 10,,Maktaba Shamela,General,422
9,Title Variant / Disambiguated (2),74685,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 11,,Maktaba Shamela,General,351
9,Title Variant / Disambiguated (2),74686,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 12,,Maktaba Shamela,General,323
9,Title Variant / Disambiguated (2),74687,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 13,,Maktaba Shamela,General,365
9,Title Variant / Disambiguated (2),74688,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 14,,Maktaba Shamela,General,362
9,Title Variant / Disambiguated (2),74689,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 15,,Maktaba Shamela,General,376
9,Title Variant / Disambiguated (2),74690,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 16,,Maktaba Shamela,General,350
9,Title Variant / Disambiguated (2),74691,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 17,,Maktaba Shamela,General,309
9,Title Variant / Disambiguated (2),74692,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 18,,Maktaba Shamela,General,314
9,Title Variant / Disambiguated (2),74693,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 19,,Maktaba Shamela,General,299
9,Title Variant / Disambiguated (2),74694,024 ك تنبيه أبي الحسن إلى القول بالتي هي أحسن - part 20,,Maktaba Shamela,General,264
10,Title Variant / Disambiguated (2),43502,03 تق مقدمة لكتاب إجماع العلماء على الهجر والتحذير من أهل الأهواء لخالد بن ضحوي الظفيري - part 1,,Maktaba Shamela,General,583
10,Title Variant / Disambiguated (2),43503,03 تق مقدمة لكتاب إجماع العلماء على الهجر والتحذير من أهل الأهواء لخالد بن ضحوي الظفيري - part 2,,Maktaba Shamela,General,623
10,Title Variant / Disambiguated (2),43504,03 تق مقدمة لكتاب إجماع العلماء على الهجر والتحذير من أهل الأهواء لخالد بن ضحوي الظفيري - part 3,,Maktaba Shamela,General,847
10,Title Variant / Disambiguated (2),43505,03 تق مقدمة لكتاب إجماع العلماء على الهجر والتحذير من أهل الأهواء لخالد بن ضحوي الظفيري - part 4,,Maktaba Shamela,General,584
10,Title Variant / Disambiguated (2),43506,03 تق مقدمة لكتاب إجماع العلماء على الهجر والتحذير من أهل الأهواء لخالد بن ضحوي الظفيري - part 5,,Maktaba Shamela,General,703
10,Title Variant / Disambiguated (2),43507,03 تق مقدمة لكتاب إجماع العلماء على الهجر والتحذير من أهل الأهواء لخالد بن ضحوي الظفيري - part 6,,Maktaba Shamela,General,809
11,Title Variant / Disambiguated (2),43550,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 1,,Maktaba Shamela,General,586
11,Title Variant / Disambiguated (2),43551,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 2,,Maktaba Shamela,General,626
11,Title Variant / Disambiguated (2),43552,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 3,,Maktaba Shamela,General,849
11,Title Variant / Disambiguated (2),43553,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 4,,Maktaba Shamela,General,602
11,Title Variant / Disambiguated (2),43554,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 5,,Maktaba Shamela,General,709
11,Title Variant / Disambiguated (2),43555,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 6,,Maktaba Shamela,General,813
11,Title Variant / Disambiguated (2),43556,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 7,,Maktaba Shamela,General,493
11,Title Variant / Disambiguated (2),43557,031 م تلون أبي الحسن في قضية أخبار الآحاد وادعاءاته الأخيرة الباطلة أنه يقول إن أخبار الآحاد تفيد العلم إذا حفتها القرائن - part 8,,Maktaba Shamela,General,509
12,Title Variant / Disambiguated (2),85408,039 م جواب للشيخ ربيع حول مسألة اشتراط إقامة الحجة في التبديع - part 1,,Maktaba Shamela,General,575
12,Title Variant / Disambiguated (2),85409,039 م جواب للشيخ ربيع حول مسألة اشتراط إقامة الحجة في التبديع - part 2,,Maktaba Shamela,General,570
12,Title Variant / Disambiguated (2),85410,039 م جواب للشيخ ربيع حول مسألة اشتراط إقامة الحجة في التبديع - part 3,,Maktaba Shamela,General,551
12,Title Variant / Disambiguated (2),85411,039 م جواب للشيخ ربيع حول مسألة اشتراط إقامة الحجة في التبديع - part 4,,Maktaba Shamela,General,621
13,Title Variant / Disambiguated (2),100567,04 تق تقريظ الشيخ ربيع بن هادي للمنظومات الحسان للشيخ زيد المدخلي - part 1,,Maktaba Shamela,General,524
13,Title Variant / Disambiguated (2),100568,04 تق تقريظ الشيخ ربيع بن هادي للمنظومات الحسان للشيخ زيد المدخلي - part 2,,Maktaba Shamela,General,554
13,Title Variant / Disambiguated (2),100569,04 تق تقريظ الشيخ ربيع بن هادي للمنظومات الحسان للشيخ زيد المدخلي - part 3,,Maktaba Shamela,General,526
13,Title Variant / Disambiguated (2),100570,04 تق تقريظ الشيخ ربيع بن هادي للمنظومات الحسان للشيخ زيد المدخلي - part 4,,Maktaba Shamela,General,684
